particle,frame,y,x,equivalent_diameter,perimeter,eccentricity,orientation_x_2_sin,orientation_x_2_cos,true_solidity,solidity,area,mean_intensity,angle,wtd_frame,wtd_y,wtd_x,wtd_equivalent_diameter,wtd_perimeter,wtd_eccentricity,wtd_orientation_x_2_sin,wtd_orientation_x_2_cos,wtd_true_solidity,wtd_solidity,wtd_area,wtd_mean_intensity,wtd_angle,bbox_top,bbox_left,bbox_bottom,bbox_right
4,13.000000,34.875128,509.457116,48.640727,207.801948,0.922962,-0.415507,-0.909590,0.234073,0.882459,1858.189500,41.000000,-1.356546,132.600000,40.086354,585.582892,41.931661,59.713203,4.614810,-2.077536,-4.547949,3.676803,0.882459,2455.000000,41.000000,-1.356546,1.000000,566.000000,95.000000,606.000000
4,14.000000,36.063547,510.000362,49.776614,217.222680,0.926348,-0.444886,-0.895587,0.229150,0.887164,1945.989900,38.000000,-1.340273,142.800000,41.452353,586.207312,42.910874,62.420310,4.631742,-2.224432,-4.477935,3.599482,0.887164,2571.000000,38.000000,-1.340273,1.000000,566.000000,99.000000,607.000000
4,15.000000,35.379139,509.458269,47.660007,197.871582,0.921269,-0.390863,-0.920449,0.240863,0.902719,1784.013300,42.000000,-1.370012,153.000000,40.665677,585.584217,41.086213,56.859650,4.606343,-1.954317,-4.602244,3.783472,0.902719,2357.000000,42.000000,-1.370012,1.000000,567.000000,91.000000,606.000000
4,16.000000,31.400652,508.835011,45.825048,177.464998,0.889443,-0.258441,-0.966027,0.258220,0.928419,1649.285100,43.000000,-1.440092,163.200000,36.092703,584.867829,39.504352,50.995689,4.447217,-1.292206,-4.830135,4.056113,0.928419,2179.000000,43.000000,-1.440092,0.000000,568.000000,76.000000,606.000000
4,17.000000,30.424647,507.645000,43.416893,166.875729,0.885902,-0.238764,-0.971078,0.260175,0.928334,1480.496400,45.000000,-1.450250,173.400000,34.970859,583.500000,37.428356,47.952796,4.429508,-1.193822,-4.855388,4.086819,0.928334,1956.000000,45.000000,-1.450250,0.000000,567.000000,70.000000,604.000000
4,18.000000,26.586243,505.401106,38.373904,152.415181,0.896914,-0.089131,-0.996020,0.251772,0.947303,1156.543200,54.000000,-1.526172,183.600000,30.558901,580.920812,33.080952,43.797466,4.484569,-0.445653,-4.980100,3.954828,0.947303,1528.000000,54.000000,-1.526172,0.000000,567.000000,70.000000,599.000000
4,19.000000,27.088903,508.949511,41.394266,166.850119,0.837194,-0.002946,-0.999996,0.248093,0.908069,1345.768200,47.000000,-1.569324,193.800000,31.136670,584.999438,35.684712,47.945436,4.185969,-0.014728,-4.999978,3.897028,0.908069,1778.000000,47.000000,-1.569324,0.000000,569.000000,74.000000,609.000000
4,20.000000,26.868197,508.262310,40.177390,169.820485,0.874834,-0.053545,-0.998565,0.236587,0.900538,1267.807500,49.000000,-1.544011,204.000000,30.882985,584.209552,34.635681,48.798990,4.374172,-0.267725,-4.992827,3.716306,0.900538,1675.000000,49.000000,-1.544011,0.000000,568.000000,76.000000,607.000000
4,21.000000,26.867044,507.930202,41.452429,175.550119,0.867255,0.017535,-0.999846,0.236129,0.861353,1349.552700,51.000000,1.562028,214.200000,30.881660,583.827818,35.734853,50.445436,4.336273,0.087675,-4.999231,3.709102,0.861353,1783.000000,51.000000,1.562028,0.000000,568.000000,78.000000,608.000000
4,22.000000,25.425306,506.339533,42.360800,184.162680,0.862514,-0.274738,-0.961519,0.230018,0.869687,1409.347800,48.000000,-1.431638,224.400000,29.224490,581.999463,36.517931,52.920310,4.312572,-1.373688,-4.807596,3.613120,0.869687,1862.000000,48.000000,-1.431638,0.000000,561.000000,81.000000,606.000000
4,23.000000,23.880504,504.799679,43.516663,204.955240,0.826105,-0.275314,-0.961354,0.212323,0.757517,1487.308500,46.000000,-1.431338,234.600000,27.448855,580.229517,37.514365,58.895184,4.130523,-1.376571,-4.806772,3.335158,0.757517,1965.000000,46.000000,-1.431338,0.000000,556.000000,85.000000,610.000000
4,24.000000,22.841898,507.100051,45.793492,218.067069,0.697257,-0.367254,-0.930121,0.209997,0.711111,1647.014400,43.000000,-1.382769,244.800000,26.255055,582.873621,39.477148,62.662951,3.486284,-1.836270,-4.650604,3.298630,0.711111,2176.000000,43.000000,-1.382769,0.000000,553.000000,84.000000,618.000000
4,25.000000,22.608820,502.730390,44.997391,212.337435,0.798801,-0.575206,-0.818008,0.211915,0.722490,1590.246900,44.000000,-1.264368,255.000000,25.987149,577.851023,38.790855,61.016504,3.994004,-2.876032,-4.090042,3.328746,0.722490,2101.000000,44.000000,-1.264368,0.000000,547.000000,86.000000,606.000000
