time,avg_area,avg_perimeter,avg_angle,avg_circularity,avg_segment_length,total_path_length,avg_orientation,euclidean_distance,avg_speed,avg_velocity,avg_directedness,avg_turn_angle,avg_direction_autocorrelation
430,1853.431857142857,254.07035714285715,94.33664285714285,0.3907142857142857,6.05930381517429,300.18303829501514,-0.821556918764812,145.78895445847755,3.6355822891045735,14.578895445847754,0.9162082868611111,-4.695873866026886,0.11471954366559786
440,1943.1785,266.8755,94.86442857142856,0.37128571428571433,7.210295198305709,307.3933334933208,-0.8323793440461628,146.86204440747926,4.326177118983425,14.686204440747925,0.9241884948208002,7.736003215684495,0.1572623205313586
450,2151.217857142857,297.9233571428571,92.32364285714286,0.3427857142857143,8.657336089923207,316.0506695832441,-0.8774684115904549,149.1593655249022,5.194401653953925,14.91593655249022,0.9207859810007264,-11.312371854810904,0.14164823727924666
460,2070.5539285714285,266.0315,94.1145,0.3985714285714286,7.854323644379578,323.9049932276236,-0.870849553458932,152.31228156870085,4.712594186627747,15.231228156870085,0.9183714339242816,-13.842275202919174,-0.3858060095372745
470,1666.5857142857146,239.28421428571423,92.49114285714286,0.40235714285714286,6.761155294381566,330.6661485220052,-0.874954010696585,155.65740644181417,4.056693176628939,15.565740644181417,0.9215289232551308,10.80790924355699,-0.43095388378038146
480,1765.3070000000002,248.60828571428573,92.5887857142857,0.39278571428571435,6.369358993883588,337.0355075158888,-0.8872626274462956,158.80223049651104,3.8216153963301536,15.880223049651104,0.9225362041172963,-8.14169050631457,-0.161710122601767
490,1719.5146428571427,252.83385714285714,90.50521428571429,0.37464285714285717,5.936485013499815,342.97199252938856,-0.8924470053041709,160.38553418993735,3.561891008099888,16.038553418993736,0.9255423672457778,9.191797809897622,0.09872537533867617
500,1893.1690714285717,271.4317857142857,91.66685714285714,0.35300000000000004,7.844325876342962,350.8163184057316,-0.9138341501412081,162.50942067873007,4.706595525805776,16.250942067873005,0.9270235937750698,-0.9881883097503845,0.1895855089727702
510,2043.3055714285715,291.9623571428572,90.49985714285715,0.3375714285714285,8.365116432332853,359.18143483806443,-0.9453066294464824,165.4510904610914,5.019069859399712,16.54510904610914,0.924404888104859,7.470679417477951,-0.06000903578879018
520,1988.7547142857143,291.3674285714286,91.56264285714285,0.31835714285714284,8.270892636281589,367.4523274743459,-0.9365896196401337,166.05728792374447,4.962535581768954,16.605728792374446,0.9300877018802304,6.196907062840701,0.032170809909208294
530,2013.7865714285713,282.30550000000005,90.73142857142857,0.3370714285714286,9.02655091402003,376.478878388366,-0.9318351093993036,170.34127113552424,5.415930548412017,17.034127113552422,0.9250741359983127,-36.82388029869729,0.08242829208444885
540,2415.592285714286,321.6233571428572,89.27185714285714,0.32321428571428573,5.9139483125299845,382.39282670089597,-0.9306433830566262,172.0316738616973,3.548368987517992,17.20316738616973,0.9286013654280775,2.6758716427471456,-0.07960560385862074
550,1853.9725000000003,276.1651428571429,91.48114285714284,0.3443571428571429,7.781257844667915,390.1740845455639,-0.9318945714315411,174.03626088740302,4.6687547068007484,17.403626088740303,0.9246133314678339,-47.041205028697235,-0.055592979806016025
560,1975.725285714286,285.5332857142857,90.99799999999998,0.3209285714285714,10.040254768555332,400.2143393141193,-0.9479012175014084,177.08067117864093,6.0241528611332,17.708067117864093,0.9336432258538662,-3.1329668009957508,0.029698816043105876
570,1859.3248571428574,265.9560714285714,90.15064285714287,0.34614285714285714,9.535191715856305,409.74953102997557,-0.95048977975195,180.3378649240469,5.721115029513784,18.03378649240469,0.9322900971461301,24.013482109284155,0.3043709958129276
580,2036.7637142857145,284.7132857142857,88.1222857142857,0.334,8.351494053772768,418.10102508374837,-0.9703244481871786,182.39050248206328,5.010896432263661,18.23905024820633,0.9370047858513318,18.906961953342304,-0.1518075869192943
590,2242.748857142857,282.63307142857144,88.90135714285714,0.38957142857142857,11.439269269912018,429.54029435366044,-0.9602361255609769,186.9428380694748,6.86356156194721,18.694283806947478,0.932847983395443,-13.197460561509399,0.10002191121252499
600,2062.931071428571,280.1942857142857,86.49342857142857,0.35364285714285704,9.712817926341724,439.2531122800021,-0.9402054681168686,184.94547063639763,5.827690755805032,18.494547063639764,0.9292812839579245,13.109450568711669,0.14674297985927268
