Image Name,Image Plane,Image Date and Time,Elapsed Time,Stage Label,Wavelength,Object #,Frame #,X,Y,Distance,Time Interval,Velocity,Absolute Angle,Distance To Origin,Delta X,Delta Y,Avgerage Intensity,Intensity S.D.,Minimum Intensity,Maximum Intensity,Total Intensity
20180515EF300XY12T,3,17:03.5,00:00.2,No Label,0,5,3,238.0775452,163.2900543,1.305019882,0.108999997,11.97265976,-40.98586721,288.694578,-0.855926514,0.985122681,23039.745,8256.560937,10107,44757,9215898
20180515EF300XY12T,3,17:03.5,00:00.2,No Label,0,6,3,269.4952087,137.4007263,0.425331603,0.108999997,3.902124888,-71.5384615,302.5006233,-0.403442383,0.134689331,20355.89,9471.874362,8026,52645,8142356
20180515EF300XY12T,3,17:03.5,00:00.2,No Label,0,7,3,274.3145447,208.8068848,4.422402814,0.108999997,40.57250385,-68.40330746,344.7445207,-4.111938477,1.627761841,27276.21,15722.16252,10230,59958,10910484
20180515EF300XY12T,3,17:03.5,00:00.2,No Label,0,8,3,165.5110931,536.9534912,0.447413608,0.108999997,4.104712096,144.6780127,561.8834164,0.258682251,-0.36505127,20558.355,4515.314862,10211,33942,8223342
20180515EF300XY12T,3,17:03.5,00:00.2,No Label,0,9,3,213.6955261,536.7703857,1.304814498,0.108999997,11.9707755,-13.87829913,577.7440825,-0.312973022,1.266723633,26278.15,13952.39091,10005,56079,10511260
20180515EF300XY12T,3,17:03.5,00:00.2,No Label,0,10,3,264.9716492,555.4951782,1.823708567,0.108999997,16.73127166,32.39364044,615.4550088,0.977020264,1.539916992,23588.1125,5401.113535,9438,39686,9435245
20180515EF300XY12T,3,17:03.5,00:00.2,No Label,0,11,3,284.6360474,595.2966309,1.360636534,0.108999997,12.48290428,152.1303824,659.8452532,0.636047363,-1.202819824,23915.515,11895.02839,7256,60988,9566206
20180515EF300XY12T,3,17:03.5,00:00.2,No Label,0,12,3,288.5219421,580.494873,5.166758752,0.108999997,47.40145759,-42.79986599,648.243171,-3.510498047,3.791015625,26387.205,9436.758243,8740,53741,10554882
20180515EF300XY12T,3,17:03.5,00:00.2,No Label,0,13,3,306.7346191,553.3251343,0.314815573,0.108999997,2.888216335,70.49717475,632.6569614,0.29675293,0.105102539,22111.1,9586.802524,9156,46718,8844440
20180515EF300XY12T,3,17:03.5,00:00.2,No Label,0,14,3,385.9646301,524.7261353,1.291841893,0.108999997,11.85176077,74.19150379,651.3879126,1.242980957,0.351928711,23786.0625,10074.75523,8258,46687,9514425
20180515EF300XY12T,3,17:03.5,00:00.2,No Label,0,15,3,343.122406,487.4378052,2.65222807,0.108999997,24.3323682,100.5934567,596.0944551,2.607025146,-0.487579346,22103.7825,10404.49861,8401,50628,8841513
20180515EF300XY12T,3,17:03.5,00:00.2,No Label,0,16,3,31.73016739,698.4061279,1.541482712,0.108999997,14.14204357,-106.4315028,699.1265429,-1.478527069,-0.436035156,20158.6075,7436.876647,8346,51265,8063443
20180515EF300XY12T,3,17:03.5,00:00.2,No Label,0,17,3,99.74084473,706.0375977,1.757847694,0.108999997,16.12704345,-162.7895941,713.0479124,-0.520118713,-1.679138184,29078.305,9321.283486,13060,65535,11631322
20180515EF300XY12T,3,17:03.5,00:00.2,No Label,0,18,3,92.00578308,911.6730347,1.995473365,0.108999997,18.30709554,112.907792,916.3038722,1.838096619,-0.776733398,20034.595,9513.544484,7525,47051,8013838
20180515EF300XY12T,3,17:03.5,00:00.2,No Label,0,19,3,212.0883179,767.8380737,1.296118264,0.108999997,11.89099353,-162.8009519,796.5907118,-0.383255005,-1.23815918,22272.53,6270.568644,8921,36730,8909012
20180515EF300XY12T,3,17:03.5,00:00.2,No Label,0,20,3,318.5109558,931.0025024,2.291852025,0.108999997,21.02616588,1.082666581,983.9791098,0.043304443,2.291442871,19040.2025,4498.283235,9654,33062,7616081
20180515EF300XY12T,3,17:03.5,00:00.2,No Label,0,21,3,476.931427,729.5357056,3.531355224,0.108999997,32.39775513,-95.96943399,871.5996396,-3.512207031,-0.367248535,22716.6725,8619.299008,9774,40476,9086669
20180515EF300XY12T,3,17:03.5,00:00.2,No Label,0,22,3,603.7127075,140.564209,2.882009137,0.108999997,26.44045144,-64.74345401,619.8607344,-2.606506348,1.229675293,22772.015,11827.46594,8166,57498,9108806
20180515EF300XY12T,3,17:03.5,00:00.2,No Label,0,23,3,551.1053467,34.2542038,2.915408059,0.108999997,26.74686357,-179.1172781,552.1688633,-0.044921875,-2.915061951,26014.815,9778.839729,9744,52138,10405926
20180515EF300XY12T,3,17:03.5,00:00.2,No Label,0,24,3,843.2089233,288.5736389,0.713919582,0.108999997,6.549721095,-172.9532026,891.2216523,-0.087585449,-0.708526611,23581.565,5127.692777,9965,37961,9432626
20180515EF300XY12T,3,17:03.5,00:00.2,No Label,0,25,3,798.8519897,394.7518921,0.988460964,0.108999997,9.068449425,-68.52844812,891.0631615,-0.91986084,0.361816406,25059.2,5803.014358,10631,35295,10023680
20180515EF300XY12T,3,17:03.5,00:00.2,No Label,0,26,3,810.3609009,433.918457,3.742884616,0.108999997,34.3383918,119.6896457,919.2225068,3.251525879,-1.853851318,25296.6725,7316.45712,11126,49797,10118669
20180515EF300XY12T,3,17:03.5,00:00.2,No Label,0,27,3,860.4819946,390.4916687,2.987415668,0.108999997,27.40748385,-1.502047991,944.9407423,-0.078308105,2.98638916,29075.04,13230.41135,10402,59377,11630016
20180515EF300XY12T,3,17:03.5,00:00.2,No Label,0,28,3,789.0330811,512.6856079,1.24211692,0.108999997,11.39556835,161.2428942,940.9674466,0.399414063,-1.176147461,24062.83,6186.172057,12986,44962,9625132
20180515EF300XY12T,3,17:03.5,00:00.2,No Label,0,29,3,772.3214722,653.2508545,1.64247915,0.108999997,15.06861641,162.05333,1011.541959,0.506103516,-1.562561035,29235.9525,14576.40857,9474,62114,11694381
20180515EF300XY12T,3,17:03.5,00:00.2,No Label,0,30,3,655.2817993,826.621521,1.17202039,0.108999997,10.7524809,-18.60386125,1054.844716,-0.373901367,1.110778809,20406.62,7804.370773,7832,38984,8162648
20180515EF300XY12T,3,17:03.5,00:00.2,No Label,0,31,3,610.2219238,768.4436646,0.62958387,0.108999997,5.77599895,25.96391677,981.2626875,0.275634766,0.566040039,23568.0425,9319.64671,7846,43229,9427217
20180515EF300XY12T,3,17:03.5,00:00.2,No Label,0,32,3,522.7803345,859.3937378,2.224095201,0.108999997,20.40454362,-142.5041004,1005.910968,-1.353820801,-1.764587402,22797.4875,6072.176683,10473,41893,9118995
20180515EF300XY12T,3,17:03.5,00:00.2,No Label,0,33,3,475.9671021,950.9888306,1.275103364,0.108999997,11.69819628,-137.8190389,1063.449311,-0.856201172,-0.944885254,21176.36,4632.921765,8733,31376,8470544
20180515EF300XY12T,3,17:03.5,00:00.2,No Label,0,34,3,762.1778564,872.6954346,0.380411095,0.108999997,3.490010126,12.15191029,1158.668376,0.080078125,0.371887207,22581.01,7641.234575,14408,57540,9032404
20180515EF300XY12T,3,17:03.5,00:00.2,No Label,0,35,3,830.9640503,887.1035767,0.597292578,0.108999997,5.479748549,-13.0578207,1215.50566,-0.13494873,0.581848145,23241.1075,8424.37902,10510,56045,9296443
20180515EF300XY12T,4,17:03.6,00:00.3,No Label,0,1,4,70.73523712,119.1652222,1.929746441,0.109999999,17.54314956,-147.9460226,138.5778624,-1.024154663,-1.635551453,21534.05,4691.110538,7257,37336,8613620
20180515EF300XY12T,4,17:03.6,00:00.3,No Label,0,2,4,161.6807709,116.5291138,0.913793166,0.109999999,8.307210641,134.437241,199.2980332,0.65246582,-0.639770508,27378.3675,15851.96422,11048,62896,10951347
20180515EF300XY12T,4,17:03.6,00:00.3,No Label,0,3,4,32.89722061,277.9928894,1.252018188,0.109999999,11.38198359,111.1670569,279.9326235,1.167547226,-0.452087402,24133.7275,7364.687365,12684,42194,9653491
20180515EF300XY12T,4,17:03.6,00:00.3,No Label,0,4,4,91.03239441,269.4699707,3.277885271,0.109999999,29.79895717,-156.5963853,284.4309441,-1.302001953,-3.008209229,22037.8725,9469.156855,6396,48101,8815149
20180515EF300XY12T,4,17:03.6,00:00.3,No Label,0,5,4,237.2372589,164.8852234,1.802954615,0.109999999,16.39049659,-27.77891256,288.9094216,-0.840286255,1.595169067,23098.715,7776.830322,10331,43690,9239486
20180515EF300XY12T,4,17:03.6,00:00.3,No Label,0,6,4,268.5905151,138.1426086,1.169982863,0.109999999,10.6362079,-50.64701895,302.0335166,-0.904693604,0.741882324,20116.665,7965.635893,9214,46860,8046666
20180515EF300XY12T,4,17:03.6,00:00.3,No Label,0,7,4,271.54422,210.3778839,3.184766443,0.109999999,28.95242237,-60.44329258,343.5041738,-2.770324707,1.570999146,27515.025,15806.77869,9929,61355,11006010
20180515EF300XY12T,4,17:03.6,00:00.3,No Label,0,8,4,166.7697906,537.0098267,1.25995758,0.109999999,11.45415988,87.43740033,562.3092717,1.25869751,0.056335449,20947.865,3969.571653,10756,31604,8379146
20180515EF300XY12T,4,17:03.6,00:00.3,No Label,0,9,4,214.0619507,537.8300171,1.121198266,0.109999999,10.19271156,19.07559672,578.8640998,0.366424561,1.059631348,26361.6,15691.42348,7978,65535,10544640
20180515EF300XY12T,4,17:03.6,00:00.3,No Label,0,10,4,265.4968567,556.4753418,1.1120088,0.109999999,10.10917096,28.18405909,616.565801,0.52520752,0.980163574,23284.6375,5513.026565,10342,41932,9313855
20180515EF300XY12T,4,17:03.6,00:00.3,No Label,0,11,4,286.6071777,593.336853,2.779583438,0.109999999,25.26894049,134.834643,658.9326942,1.971130371,-1.959777832,24832.135,14422.28213,7095,63860,9932854
20180515EF300XY12T,4,17:03.6,00:00.3,No Label,0,12,4,289.5073547,580.2015381,1.028145606,0.109999999,9.346778286,106.5771637,648.4198742,0.985412598,-0.293334961,26983.355,10202.49892,9122,56124,10793342
20180515EF300XY12T,4,17:03.6,00:00.3,No Label,0,13,4,308.143158,553.3521729,1.408798313,0.109999999,12.80725746,88.90034967,633.3646919,1.408538818,0.027038574,22560.74,9473.802391,8928,46931,9024296
20180515EF300XY12T,4,17:03.6,00:00.3,No Label,0,14,4,379.9827576,522.7487183,6.300236287,0.109999999,57.27487564,-108.2923361,646.260875,-5.981872559,-1.977416992,22994.0625,9644.861611,7949,47150,9197625
20180515EF300XY12T,4,17:03.6,00:00.3,No Label,0,15,4,343.4163208,487.1625366,0.402689314,0.109999999,3.660811968,133.1237945,596.0386787,0.293914795,-0.275268555,20973.4225,8729.751108,7838,46087,8389369
20180515EF300XY12T,4,17:03.6,00:00.3,No Label,0,16,4,30.15328979,698.1260376,1.601559721,0.109999999,14.55963391,-100.0721071,698.776921,-1.576877594,-0.280090332,20532.1125,8241.268834,8917,48986,8212845
20180515EF300XY12T,4,17:03.6,00:00.3,No Label,0,17,4,99.11328125,706.0713501,0.62847048,0.109999999,5.713368032,-86.92148285,712.9938246,-0.627563477,0.033752441,30819.9575,10262.18413,8358,65535,12327983
20180515EF300XY12T,4,17:03.6,00:00.3,No Label,0,18,4,91.82634735,910.8568726,0.835654097,0.109999999,7.596855469,-167.6007541,915.4738229,-0.17943573,-0.816162109,19558.365,8373.41043,8747,46195,7823346
20180515EF300XY12T,4,17:03.6,00:00.3,No Label,0,19,4,211,767.1113281,1.308661516,0.109999999,11.89692294,-123.7338996,795.6008985,-1.088317871,-0.726745605,22217.83,6535.019246,9066,35350,8887132
20180515EF300XY12T,4,17:03.6,00:00.3,No Label,0,20,4,318.7829895,932.0668335,1.098545822,0.109999999,9.986780255,14.33736661,985.0741985,0.272033691,1.064331055,18753.81,3720.426408,10327,27750,7501524
20180515EF300XY12T,4,17:03.6,00:00.3,No Label,0,21,4,479.1937561,730.6561279,2.52457506,0.109999999,22.95068249,63.65306114,873.7763061,2.262329102,1.120422363,22467.085,8713.943528,9035,42077,8986834
20180515EF300XY12T,4,17:03.6,00:00.3,No Label,0,22,4,602.1143188,144.3329468,4.093681827,0.109999999,37.21528954,-22.98268321,619.1717472,-1.598388672,3.768737793,21875.55,9606.960129,8635,47360,8750220
20180515EF300XY12T,4,17:03.6,00:00.3,No Label,0,23,4,550.7550049,33.54753113,0.788749412,0.109999999,7.170449239,-153.6296411,551.7757808,-0.350341797,-0.706672668,26483.325,9704.867033,8296,50268,10593330
