 ,Label,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,Slice,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
46,16-1_10min:n_2_t_55:_10045,3390.155,255,0,255,255,255,630.387,689.215,630.387,689.215,455.485,601.17,626.4,58.29,117.45,98.517,43.815,80.263,0.205,119.142,864489.551,255,NaN,NaN,100,1142145,46,614.22,626.4,99.669,54.817,2.248,0.445,0.712
47,16-1_10min:n_2_t_52:_10046,1155.029,255,0,255,255,255,627.349,685.588,627.349,685.588,161.841,603.78,649.89,37.41,58.29,57.023,25.79,71.563,0.554,62.039,294532.497,255,NaN,NaN,100,389130,47,609,707.31,67.751,31.952,2.211,0.452,0.827
48,16-1_10min:n_2_t_53:_10047,1304.896,255,0,255,255,255,630.827,687.342,630.827,687.342,184.709,606.39,647.28,40.89,70.47,68.036,24.42,67.888,0.481,72.8,332748.378,255,NaN,NaN,100,439620,48,618.57,717.75,75.466,31.045,2.786,0.359,0.772
49,16-1_10min:n_2_t_54:_10048,1351.067,254.857,6.036,255,0,255,635.938,694.948,635.941,694.933,194.217,612.48,658.59,40.02,73.08,69.559,24.73,72.031,0.45,74.739,344328.948,255,-42.214,1780.001,99.944,454920,49,629.88,731.67,77.905,33.582,2.813,0.356,0.743
50,16-1_10min:n_2_t_54:_10049,1305.652,255,0,255,255,255,641.782,691.369,641.782,691.369,184.039,627.27,651.63,26.97,77.43,78.595,21.152,82.931,0.484,77.606,332941.387,255,NaN,NaN,100,439875,50,639.45,729.06,86.143,23.973,3.716,0.269,0.871
51,16-1_10min:n_2_t_55:_10050,2315.357,255,0,255,255,255,647.994,716.1,647.994,716.1,291.78,634.23,654.24,28.71,127.02,124.927,23.598,92.553,0.342,127.689,590416.06,255,NaN,NaN,100,780045,51,646.41,654.24,95.866,28.17,5.294,0.189,0.827
52,16-1_10min:n_2_t_55:_10051,2141.27,255,0,255,255,255,650.97,714.651,650.97,714.651,273.66,639.45,654.24,28.71,117.45,118.142,23.077,91.239,0.359,117.608,546023.876,255,NaN,NaN,100,721395,52,649.89,654.24,92.968,27.939,5.12,0.195,0.809
53,16-1_10min:n_2_t_55:_10052,2164.734,255,0,255,255,255,654.31,717.103,654.31,717.103,280.918,642.93,654.24,28.71,122.67,124.99,22.052,91.199,0.345,122.719,552007.17,255,NaN,NaN,100,729300,53,653.37,776.91,88.375,27.397,5.668,0.176,0.792
54,16-1_10min:n_2_t_55:_10053,1653.827,255,0,255,255,255,659.947,684.091,659.947,684.091,231.019,649.02,635.1,22.62,104.4,100.586,20.934,89.551,0.389,104.632,421725.758,255,NaN,NaN,100,557175,54,658.59,739.5,86.186,22.485,4.805,0.208,0.905
55,16-1_10min:n_2_t_61:_10054,3655.827,254.947,3.669,255,0,255,674.417,677.504,674.42,677.512,461.354,654.24,622.92,53.07,155.73,134.21,34.682,80.728,0.216,158.677,932042.876,255,-69.477,4825,99.979,1231395,55,662.07,778.65,76.04,49.708,3.87,0.258,0.706
